100	Abs(number) 'returns the absolute value of Number
101	"AddObject ObjectID, varName, [left, top, left, width, [parent]] 'add an object named VarName"
102	Array(expression list) 'create an array from a list of elements
103	Asc(string) 'return the ASCII value of a character
104	Atn(number) 'return the arc tangent 
105	CBool(exp) 'Convert to Boolean
106	CByte(exp) 'Convert to Byte type
107	CCur(exp) 'Convert to Currency type
108	CDate(exp) 'Convert to Date type
109	CDbl(exp) 'Convert to Double
110	Chr(number) 'Convert number to character
111	CInt(exp) 'Convert to Integer
112	"CLng(exp) ""Convert to Long"
113	Cos(exp) 'Return Cosine of exp
114	CreateObject(ObjectID) 'Create an Object
115	CSng(exp) 'Convert to Single 
116	CStr(exp) 'Convert to String
117	Date 'Returns the current system date
118	"DateAdd(interval, number, date) 'Add number (defined by interval) to date. See Language Ref for Interval values."
119	"DateDiff(interval,d1,day2[,1stdayofwk[, 1stwkofyr]]) 'Return interval between dates. See Language Ref for Interval values."
120	"DatePart(interval, day[, 1stdayofwk[, 1stwkofyr]]) 'Return part of current date. See Language Ref for Interval values."
121	"DateSerial(year, month, day) 'Returns a Date variable from numeric values"
122	DateValue(date) 'Returns a Date variable from a date string.
123	Day(date) 'Returns day (1-31) from a Date variable.
124	Eval(string) 'Returns result of executing string
125	Execute(string) 'Executes string
126	ExecuteFile(string) 'Executes text file
127	Exp(number) 'returns e raised to the value of number.
128	"Filter(stringarray, value[, include[, compare]]) 'Returns an array of strings. See Language Reference."
129	Fix(number) 'Returns whole number portion of number.
130	"FormatCurrency(exp[, fractionaldigits[, leadingdigit[, parensfornegative[, groupdigits]]]]) 'Returns string. See Language Ref."
131	"FormatDateTime(date[, formatname]) 'Returns string. See Language Ref."
132	"FormatNumber(exp[, fractionaldigits[, leadingdigit[, parensfornegative[, groupdigits]]]]) 'Returns string. See Language Ref."
133	"FormatPercent(exp[, fractionaldigits[, leadingdigit[,parensfornegative[,groupdigits]]]])Hex(number) 'Returns string. See Language Ref."
134	"GetObject(pathname, class) 'open a pathname as an object "
135	GetRef(functionName) 'returns reference to a function
136	Hex(number) 'returns hex value as string
137	Hour(time) 'Return hour portion (0-23) of time.
138	"InputBox(prmpt[, title[, default[, x[, y]]]]) 'Display an input box and return input."
139	"InStr([start, ]string1, string2[, compare]) 'Find one string inside another."
140	"InStrRev(string1, string2[, start[, compare]]) 'Find one string inside another. Start search at end."
141	Int(number) 'Return integer portion of number
142	IsArray(exp) 'Is exp an Array?
143	IsDate(exp) 'Is exp a Date?
144	IsEmpty(exp) 'Is exp Empty?
145	IsNull(exp) 'Is exp Null?
146	IsNumeric(exp) 'Is exp a number?
147	IsObject(exp) 'Is exp an Object?
148	"Join(stringarray[, delimiter])  'Combine an array of strings into a single string, separated by Delimiter."
149	"LBound(array[, dimension]) 'Return lower bound of array."
150	LCase(string) 'Converts string to lower case
151	"Left(string, length) 'Returns length characters from left of string."
152	"LeftB(string, length) 'Returns length bytes from left of string."
153	Len({string | variable}) 'Returns number of characters in string.
154	LenB({string | variable}) 'Returns number of bytes in string.
155	LoadPicture(filename) 'Returns a picture object
156	Log(number) 'Returns the natural log of number.
157	LTrim(string) 'Returns string without leading spaces
158	"Mid(string, start[, length]) 'Return Length characters starting at position Start in String."
159	"MidB(string, start[, length]) 'Return Length bytes starting at position Start in String."
160	Minute(time) 'Return the minutes portion (0-59) of time.
161	Month(date) 'Return the month portion (1-12) of date.
162	"MonthName(date[, abbreviate]) 'Return month name of date."
163	"MsgBox(prompt[, buttons[, title]]) 'Put up a message box. See Language Reference for Buttons."
164	Oct(number) 'Return number converted to an octal string.
165	"Replace(target, find, source[, strt[, count[, comp]]]) 'Replace one string with a another."
166	"RGB(red, green, blue) 'returns RGB value. Colors are 0-255."
167	"Right(string, length) 'Returns the Right characters of String."
168	"RightB(string, length) 'Returns the Right bytes of String."
169	Rnd[(number)] 'Returns a random single precision number between 0 and 1.
170	"Round(number[, fractionalDigits]) 'Returns Number rounded to the nearest fractionalDigits."
171	RTrim(string) 'Returns String with trailing spaces removed.
172	Second(time) 'Returns seconds portion (0-59) of time.
173	SetLocale(LocaleID) 'sets geographic locale. See Microsoft docs for locale values.
174	"SetMenu(menuString[||menuKey], menuList) 'sets current menu ."
175	"SetParent(child, parent) 'sets the parent of a child object."
176	"Sgn(number) 'Returns sign of number (-1, 0, or 1)."
177	"ShellExecute(verb, file[, parms]) 'Executes another program. Verb is Open or Print."
178	Sin(number) 'Return the sine of Number.
179	Sleep(number) 'Stop all processing for Number of milliseconds.
180	Space(number) 'Returns of string of Number spaces.
181	"Split(string[, delimiter[, count[, compare]]]) 'Returns an array of strings from a string."
182	Sqr(number) 'Returns the square root of Number.
183	"StrComp(string1,string2[, compare]) 'Compares 2 strings. See Language Reference for more info."
184	"String(number, character) 'Returns a string of Number Characters."
185	StrReverse(string) 'Returns the reverse of String.
186	Tan(number) 'Returns the tangent of Number.
187	"TimeSerial(hour, minute, second) 'Returns a Time variable computed from parameters."
188	TimeValue(string) 'Returns a Time variable from String.
189	Trim(string) 'Returns string with leading and trailing spaces removed.
190	TypeName(variable) 'Returns the variable type name of Variable in a string.
191	"UBound(array[, dimension]) 'Returns upper bound of array."
192	UCase(string) 'Converts string to lower case.
193	VarType(variable) 'Returns the variable type name of Variable as a number.
194	"Weekday(date[, firstdayofweek]) 'Returns the integer value of day of week."
195	"WeekdayName(number[, abbrev[, 1stdayofwk]) 'Returns the name of the day of the week."
196	Year(date) 'Returns the year portion of the date.
